"에너지원별(1)",에너지원별(2),에너지원별(3),에너지원별(4),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"에너지원별(1)",에너지원별(2),에너지원별(3),에너지원별(4),전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
"① 재생에너지",바이오 (MWh),소계,소계,9938354,29554,9827,29663,228842,4779,-,799437,25790,302620,1527599,8846,1933197,3157632,45367,29698,434237,1371267,11788068,28706,14294,14158,210856,3107,-,689987,27461,346957,2225996,8492,2677939,3676706,57690,22778,372760,1410179,11927592,27783,12534,6072,228231,3051,-,290267,12460,379897,1883771,8211,2810616,4347686,93969,19547,191845,1611653
"① 재생에너지",바이오 (MWh),사업용,소계,9664364,27749,9827,14619,228842,4779,-,558487,25790,294247,1527599,6787,1928952,3157632,44970,28582,434237,1371267,11454757,28706,14294,10287,210856,3107,-,428017,27461,338567,2225996,6341,2622595,3676706,57293,21676,372676,1410179,11503337,27783,10614,5187,228231,3051,-,55475,12460,374028,1883771,6231,2638367,4347686,93806,13151,191845,1611653
"① 재생에너지",바이오 (MWh),자가용,소계,273990,1805,-,15044,-,-,-,240950,-,8373,-,2059,4246,-,397,1116,-,-,333310,-,-,3871,-,-,-,261970,-,8390,-,2151,55345,-,397,1102,85,-,424255,-,1920,885,-,-,-,234792,-,5869,-,1980,172249,-,163,6396,-,-
"① 재생에너지",바이오 (MWh),바이오가스,소계,179046,29554,2694,15044,18563,-,-,-,-,40184,11242,8086,11159,21281,1104,6985,10988,2162,191081,28706,5792,3871,16138,-,-,-,-,60627,12431,7884,12176,23314,1362,7885,8917,1977,152742,27783,6051,885,18425,-,-,-,-,32676,11306,7703,12051,16314,1477,8136,7217,2718
"① 재생에너지",바이오 (MWh),바이오가스,사업용,149710,27749,2694,-,18563,-,-,-,-,31811,11242,6027,10617,21281,708,5869,10988,2162,174406,28706,5792,-,16138,-,-,-,-,52238,12431,5733,11496,23314,966,6783,8832,1977,135429,27783,4131,-,18425,-,-,-,-,26807,11306,5723,11953,16314,1314,1739,7217,2718
"① 재생에너지",바이오 (MWh),바이오가스,자가용,29336,1805,-,15044,-,-,-,-,-,8373,-,2059,542,-,397,1116,-,-,16675,-,-,3871,-,-,-,-,-,8390,-,2151,679,-,397,1102,85,-,17312,-,1920,885,-,-,-,-,-,5869,-,1980,99,-,163,6396,-,-
"① 재생에너지",바이오 (MWh),매립지가스,소계,180043,-,7133,-,154988,4779,-,-,-,-,2049,760,-,344,6971,-,1030,1988,187485,-,8502,-,165191,3107,-,-,-,-,1654,608,-,-,6090,-,2,2330,206760,-,6483,-,188584,3051,-,-,-,-,1251,508,-,-,5106,-,-,1778
"① 재생에너지",바이오 (MWh),매립지가스,사업용,180043,-,7133,-,154988,4779,-,-,-,-,2049,760,-,344,6971,-,1030,1988,187485,-,8502,-,165191,3107,-,-,-,-,1654,608,-,-,6090,-,2,2330,206760,-,6483,-,188584,3051,-,-,-,-,1251,508,-,-,5106,-,-,1778
"① 재생에너지",바이오 (MWh),매립지가스,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",바이오 (MWh),우드칩,소계,99242,-,-,14619,653,-,-,-,-,24380,12628,-,3704,19436,19014,-,-,4809,222248,-,-,10287,3039,-,-,-,-,23148,33411,-,54665,61416,36282,-,-,-,319428,-,-,5187,1278,-,-,-,-,-,-,-,219746,32047,61170,-,-,-
