계약종별 전력사용량 월별( 20240509 현재 ),,,,,,,
"시도 : 전체(시도), 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2021년 07 월 ~ 2021년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202109,전체(시도),전체(시 / 군 / 구),교육용,"20,960 ","649,897,912 ","66,349,304,012 ",102.1 
202109,전체(시도),전체(시 / 군 / 구),산업용,"432,698 ","24,330,802,133 ","2,277,968,333,647 ",93.6 
202109,전체(시도),전체(시 / 군 / 구),농사용,"1,958,290 ","1,817,805,707 ","81,502,098,719 ",44.8 
202109,전체(시도),전체(시 / 군 / 구),가로등,"2,186,746 ","272,772,302 ","31,133,623,545 ",114.1 
202109,전체(시도),전체(시 / 군 / 구),심 야,"728,733 ","325,862,630 ","19,750,620,716 ",60.6 
202110,전체(시도),전체(시 / 군 / 구),주택용,"15,692,720 ","6,086,135,761 ","652,847,616,744 ",107.3 
202110,전체(시도),전체(시 / 군 / 구),일반용,"3,331,117 ","9,077,887,201 ","1,042,394,960,737 ",114.8 
202110,전체(시도),전체(시 / 군 / 구),교육용,"20,952 ","574,995,975 ","54,199,671,354 ",94.3 
202110,전체(시도),전체(시 / 군 / 구),산업용,"432,975 ","23,947,121,151 ","2,221,500,785,061 ",92.8 
202110,전체(시도),전체(시 / 군 / 구),농사용,"1,963,874 ","1,480,099,924 ","73,709,559,251 ",49.8 
202110,전체(시도),전체(시 / 군 / 구),가로등,"2,193,068 ","290,362,515 ","32,515,225,629 ",112.0 
202110,전체(시도),전체(시 / 군 / 구),심 야,"726,725 ","357,068,286 ","20,750,108,159 ",58.1 
202111,전체(시도),전체(시 / 군 / 구),주택용,"15,706,428 ","6,171,794,100 ","672,739,885,860 ",109.0 
202111,전체(시도),전체(시 / 군 / 구),일반용,"3,342,244 ","9,055,681,602 ","1,193,945,965,447 ",131.8 
202111,전체(시도),전체(시 / 군 / 구),교육용,"20,951 ","671,041,890 ","71,741,640,912 ",106.9 
202111,전체(시도),전체(시 / 군 / 구),산업용,"433,354 ","23,897,914,149 ","2,771,101,602,898 ",116.0 
202111,전체(시도),전체(시 / 군 / 구),농사용,"2,521,511 ","1,915,299,097 ","85,660,793,949 ",44.7 
202111,전체(시도),전체(시 / 군 / 구),가로등,"2,197,599 ","309,183,178 ","33,909,502,986 ",109.7 
202111,전체(시도),전체(시 / 군 / 구),심 야,"725,059 ","780,663,916 ","50,585,444,627 ",64.8 
202112,전체(시도),전체(시 / 군 / 구),주택용,"15,713,438 ","6,416,949,332 ","716,323,454,514 ",111.6 
202112,전체(시도),전체(시 / 군 / 구),일반용,"3,355,767 ","11,065,907,312 ","1,476,830,329,190 ",133.5 
202112,전체(시도),전체(시 / 군 / 구),교육용,"20,954 ","925,445,423 ","93,087,118,011 ",100.6 
202112,전체(시도),전체(시 / 군 / 구),산업용,"433,673 ","25,495,423,783 ","2,967,321,093,064 ",116.4 
202112,전체(시도),전체(시 / 군 / 구),농사용,"2,040,049 ","1,790,641,946 ","87,240,596,730 ",48.7 
