"용도별(1)",용도별(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"용도별(1)",용도별(2),계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성
"제조업(10차)",금속가공,8408635,50703,762541,572871,616181,151631,58462,201821,12054,2093731,33817,781119,531171,128748,134929,782637,1493431,2787,-,8764295,51333,786774,612020,624201,164353,57161,192940,12525,2158925,34831,805879,564207,133950,136578,806988,1618947,2683,-,8658993,49165,790408,610077,591609,152764,52245,203251,12602,2107355,36381,799053,564695,138321,135635,796904,1615639,2888,-
"제조업(10차)",전자통신,53310591,44816,96405,256179,1081011,739773,241084,35894,221384,29374462,50381,4908533,11303599,430232,46236,3971468,508042,1094,-,57788476,62799,102955,259983,1307722,816994,298833,35984,234153,33034901,58655,5191666,11086797,459813,55441,4149463,630793,1523,-,60192109,57524,102227,293622,1385964,799169,225366,37322,254929,35973675,63910,5269241,10552175,450531,55980,4026262,642572,1639,-
"제조업(10차)",의료광학,3843330,43400,65270,76337,1946059,27611,47254,16186,2243,533506,32685,72516,559275,23341,11653,163072,222131,793,-,4143844,43783,67875,90830,2021417,28650,47503,18490,2681,597352,37216,87311,631219,27410,12480,186291,242550,787,-,4089654,42209,74782,92253,1971475,30906,48213,20107,5186,610610,38626,97045,573036,29450,11340,195153,248431,829,-
"제조업(10차)",전기장비,6901744,16727,127845,199516,165455,223136,85885,492203,45450,1020526,37777,1378199,867279,145635,355641,841972,897706,794,-,7710495,19253,137952,297138,185469,233907,89024,570876,70821,1115707,37035,1477416,917515,158572,460652,980590,957698,871,-,8219224,20629,145180,345497,176560,214136,90056,596599,72778,1102856,36186,1611294,912884,147319,602365,1176768,966754,1363,-
"제조업(10차)",기타기계,10169452,133553,933894,455177,822802,183282,88756,178864,28610,3535883,32410,379705,685046,151138,63036,754325,1740942,2030,-,11131487,136043,985736,490896,893800,202561,94759,181995,32801,3927790,30084,444625,766500,164708,68093,821257,1887576,2263,-,11391011,130011,991814,502110,875680,186910,97276,188377,34540,4010473,31258,501182,846541,163723,69395,856409,1902953,2359,-
"제조업(10차)",자동차,16488546,16446,1087609,1178526,495891,441849,183515,2200235,75118,2713817,134128,641910,2339241,721023,66161,2217993,1974287,797,-,17983076,16930,1129922,1286734,502177,500347,190949,2265967,78725,2905822,173438,711643,2690227,796880,66655,2424074,2242292,292,-,18516600,17163,1141997,1344879,509997,511515,197990,2302894,80873,2966598,171311,740918,2851712,841566,74006,2495338,2267550,294,-
"제조업(10차)",기타운송,4169684,19093,205873,47081,60730,5575,8477,1016201,87,68697,64819,13708,28912,40528,589862,118542,1881060,439,-,4103124,19758,218617,48875,51922,6020,8038,1003006,136,80430,37589,15741,32899,39754,583010,134834,1822116,378,-,4225727,20411,213351,48155,54709,5202,9411,1036886,179,87955,37092,25916,35101,46823,592840,144343,1866980,375,-
"제조업(10차)",가구,672950,3444,9689,9723,108125,5052,3919,1476,394,417469,6479,42821,8648,4177,6970,22068,21334,1163,-,702199,3520,10187,15859,114586,5048,4032,1215,469,442026,6872,29410,9274,4523,7495,24383,22047,1252,-,699459,3232,8926,15526,115207,5285,4067,1839,563,441144,7699,25935,9859,6185,7868,23306,21545,1273,-
"제조업(10차)",기타제품,2589300,105774,33203,29143,377956,2163,17447,655,4227,1113608,7434,528405,77402,12654,6411,23915,247649,1254,-,2780810,107280,36174,31556,414074,2155,18654,800,4548,1181054,7982,578663,76101,15024,6263,25115,273972,1397,-,2802802,103130,35418,31905,401582,2064,19730,864,4144,1209204,8947,592825,77816,16004,5921,25050,266779,1418,-
"제조업(10차)",산업기계,76149,1251,2654,1510,3384,1691,248,899,289,15146,2813,4532,5752,5178,13314,5199,11067,1223,-,79373,1343,2645,1555,3637,1739,322,950,327,16302,3012,5050,5933,5380,13625,5577,10717,1259,-,80369,1476,2722,1830,4037,1687,652,1058,305,15791,3071,5104,6106,5439,13228,6085,10469,1310,-
